country,postal_code,municipality,latitude,longitude,population,year
swe,1430,Munkedal,58.4715051,11.6801923,10513,2019
swe,1762,Munkfors,59.8353475,13.5344147,3740,2019
swe,182,Nacka,59.3092328,18.2705343,105189,2019
swe,682,Nässjö,57.6530355,14.6967247,31538,2019
swe,1884,Nora,59.5192064,15.0378667,10726,2019
swe,1962,Norberg,60.065042,15.923796,5690,2019
swe,2132,Nordanstig,62.0366675,17.2052489,9477,2019
swe,2401,Nordmaling,63.5671062,19.5050215,7143,2019
swe,581,Norrköping,58.587745,16.192421,143171,2019
swe,188,Norrtälje,59.7595841,18.7013584,62622,2019
swe,2417,Norsjö,64.9135093,19.4826413,3986,2019
swe,881,Nybro,56.940257,15.913943,20318,2019
swe,480,Nyköping,58.7528439,17.0091593,56591,2019
swe,140,Nykvarn,59.178177,17.4278161,11014,2019
swe,192,Nynäshamn,58.902926,17.9465288,28575,2019
swe,2101,Ockelbo,60.891784,16.7201872,5908,2019
swe,1407,Öckerö,57.7047783,11.6453629,12916,2019
swe,509,Ödeshög,58.1873909,14.7014841,5337,2019
swe,1060,Olofström,56.277708,14.530938,13426,2019
swe,1880,Örebro,59.2752626,15.2134105,155696,2019
swe,1257,Örkelljunga,56.283635,13.278832,10280,2019
swe,2284,Örnsköldsvik,63.2900474,18.7166166,55998,2019
swe,2034,Orsa,61.1169365,14.6280708,6911,2019
swe,1421,Orust,58.1802671,11.6759839,15218,2019
swe,1273,Osby,56.3815355,13.9929413,13208,2019
swe,882,Oskarshamn,57.2656993,16.4473984,27102,2019
swe,117,Österåker,59.4804948,18.2902956,45574,2019
swe,2380,Östersund,63.1766832,14.6360681,63779,2019
swe,382,Östhammar,60.2593019,18.365341,22250,2019
swe,1256,Östra Göinge,56.2378773,14.2161662,15007,2019
swe,2121,Ovanåker,61.345719,16.000104,11670,2019
swe,2513,Överkalix,66.25963,22.820359,3315,2019
swe,2518,Övertorneå,66.3884435,23.639283,4299,2019
swe,481,Oxelösund,58.6754851,17.0749546,11983,2019
swe,2521,Pajala,67.212782,23.3673919,6052,2019
swe,1402,Partille,57.7335042,12.1301489,39289,2019
swe,1275,Perstorp,56.137972,13.3949863,7492,2019
swe,2581,Piteå,65.316698,21.4800363,42281,2019
swe,2303,Ragunda,63.1247063,16.3664898,5284,2019
swe,2031,Rättvik,60.889025,15.1233731,10950,2019
swe,2409,Robertsfors,64.191835,20.84891,6747,2019
swe,1081,Ronneby,56.210434,15.2760229,29633,2019
swe,1785,Säffle,59.132661,12.930107,15455,2019
swe,1981,Sala,59.9208594,16.606328,22894,2019
swe,128,Salem,59.20768,17.7742216,16750,2019
swe,2181,Sandviken,60.621607,16.7759179,39234,2019
swe,2082,Säter,60.34665,15.7479,11093,2019
swe,684,Sävsjö,57.3989958,14.6658136,11677,2019
swe,191,Sigtuna,59.6191463,17.7234191,48964,2019
swe,1291,Simrishamn,55.5573959,14.3489651,19174,2019
swe,1265,Sjöbo,55.634822,13.7033701,19226,2019
swe,1495,Skara,58.3860128,13.4393281,18837,2019
swe,2482,Skellefteå,64.750244,20.950917,72589,2019
swe,1904,Skinnskatteberg,59.8260558,15.6915186,4393,2019
swe,1496,Skövde,58.3902782,13.8461208,56366,2019
swe,1264,Skurup,55.48045,13.502349,15889,2019
swe,2061,Smedjebacken,60.1431933,15.4159915,10894,2019
swe,2182,Söderhamn,61.3055762,17.0628102,25643,2019
swe,582,Söderköping,58.4759013,16.3234307,14626,2019
swe,181,Södertälje,59.195363,17.625689,98979,2019
swe,2283,Sollefteå,63.1654065,17.277135,19140,2019
swe,163,Sollentuna,59.4541218,17.9242952,73857,2019
swe,184,Solna,59.3641968,18.0124231,82429,2019
swe,1083,Sölvesborg,56.0537433,14.5796878,17452,2019
swe,2422,Sorsele,65.5349378,17.5421752,2489,2019
swe,1427,Sotenäs,58.474747,11.318806,9061,2019
swe,1230,Staffanstorp,55.641065,13.212229,25396,2019
swe,1415,Stenungsund,58.0678388,11.8294345,26777,2019
swe,180,Stockholm,59.3293235,18.0685808,974073,2019
swe,1760,Storfors,59.5332079,14.2722085,4014,2019
swe,2421,Storuman,65.0956204,17.1122771,5852,2019
swe,486,Strängnäs,59.3774523,17.0321193,36544,2019
swe,1486,Strömstad,58.9383459,11.1791872,13218,2019
swe,2313,Strömsund,58.9383459,11.1791872,11605,2019
swe,183,Sundbyberg,59.3829282,17.9644707,52414,2019
swe,2281,Sundsvall,62.390811,17.306927,99449,2019
swe,1766,Sunne,59.8365575,13.1440464,13306,2019
swe,1907,Surahammar,59.7072262,16.2268408,10106,2019
swe,1214,Svalöv,55.9129296,13.1018168,14268,2019
swe,1263,Svedala,55.5089084,13.2371097,22229,2019
swe,1465,Svenljunga,57.4955715,13.1146225,10780,2019
swe,160,Täby,59.4419,18.0703298,71874,2019
swe,1435,Tanum,58.7327267,11.4578193,12841,2019
swe,1472,Tibro,58.424323,14.1616417,11240,2019
swe,1498,Tidaholm,58.1817692,13.9594737,12846,2019
swe,360,Tierp,60.3475866,17.5205087,21136,2019
swe,2262,Timrå,62.4854563,17.3248651,17979,2019
swe,763,Tingsryd,56.5247452,14.9785342,12393,2019
swe,1419,Tjörn,58.0410195,11.6836708,16016,2019
swe,1270,Tomelilla,55.54355,13.95484,13617,2019
swe,1473,Töreboda,58.7055092,14.1261468,9293,2019
swe,834,Torsås,56.397675,15.8807121,7125,2019
swe,1737,Torsby,60.1409072,13.0102132,11616,2019
swe,687,Tranås,58.035518,14.9756961,19003,2019
swe,1452,Tranemo,57.4855688,13.3524099,11936,2019
swe,1287,Trelleborg,55.3762427,13.1574232,45440,2019
swe,1488,Trollhättan,58.2834894,12.2858206,59058,2019
swe,488,Trosa,58.902655,17.5494637,13747,2019
swe,138,Tyresö,59.2340095,18.2964802,48333,2019
swe,1485,Uddevalla,58.3498003,11.935649,56703,2019
swe,1491,Ulricehamn,57.7947889,13.4205162,24668,2019
swe,2480,Umeå,63.8258471,20.2630354,128901,2019
swe,114,Upplands Väsby,59.51961,17.92834,46786,2019
swe,139,Upplands-Bro,59.5160329,17.6316646,29346,2019
swe,380,Uppsala,59.8585638,17.6389267,230767,2019
swe,760,Uppvidinge,57.0145748,15.3811739,9588,2019
swe,584,Vadstena,58.4476022,14.8902335,7428,2019
swe,665,Vaggeryd,57.4989621,14.1486297,14275,2019
swe,563,Valdemarsvik,58.2024514,16.6013625,7873,2019
swe,115,Vallentuna,59.5357,18.078017,34090,2019
swe,1487,Vänersborg,58.3797283,12.3248032,39591,2019
swe,2460,Vännäs,63.908007,19.752965,8872,2019
swe,2021,Vansbro,60.55,14.35,6805,2019
swe,1470,Vara,58.261781,12.9601941,16024,2019
swe,1383,Varberg,57.107118,12.2520907,64601,2019
swe,1442,Vårgårda,58.0323039,12.8089763,11810,2019
swe,120,Värmdö,59.3163663,18.446572,45000,2019
swe,683,Värnamo,57.1831605,14.0478214,34560,2019
swe,1980,Västerås,59.6099005,16.5448092,154049,2019
swe,883,Västervik,57.7577156,16.6369759,36679,2019
swe,187,Vaxholm,59.4032968,18.3263804,12003,2019
swe,780,Växjö,56.8790044,14.8058523,94129,2019
swe,1233,Vellinge,55.4708928,13.0199899,36628,2019
swe,685,Vetlanda,57.42746,15.08533,27466,2019
swe,2462,Vilhelmina,64.624471,16.655497,6668,2019
swe,884,Vimmerby,57.6690339,15.858857,15647,2019
swe,2404,Vindeln,64.2019528,19.7188702,5423,2019
swe,428,Vingåker,59.0433753,15.8709393,9111,2019
swe,512,Ydre,57.8595195,15.2973458,3747,2019
swe,1286,Ystad,55.4295051,13.8200308,30541,2019

