,country_code,postal_code,latitude,longitude,region_id
126,swe,11449,59.3398021,18.0802922,Östermalm::Stockholm
127,swe,11450,59.3411471,18.0812933,Östermalm::Stockholm
128,swe,11451,59.33345929999999,18.079115,Östermalm::Stockholm
129,swe,11452,59.3341776,18.0831921,Östermalm::Stockholm
130,swe,11453,59.33413720000001,18.0847723,Östermalm::Stockholm
131,swe,11454,59.33409690000001,18.0863525,Östermalm::Stockholm
132,swe,11455,59.3338467,18.0880987,Östermalm::Stockholm
133,swe,11457,59.33241839999999,18.0876795,Östermalm::Stockholm
134,swe,11458,59.3369938,18.0856104,Östermalm::Stockholm
135,swe,11459,59.33901119999999,18.0871123,Östermalm::Stockholm
136,swe,11460,59.3356541,18.0897665,Östermalm::Stockholm
137,swe,11520,59.33817699999999,18.0929339,Östermalm::Stockholm
138,swe,11522,59.3366653,18.0930966,Östermalm::Stockholm
139,swe,11523,59.33356089999999,18.0965827,Östermalm::Stockholm
140,swe,11524,59.33935499999999,18.0951001,Östermalm::Stockholm
141,swe,11525,59.3290592,18.1434901,Östermalm::Stockholm
142,swe,11526,59.3365032,18.0994188,Östermalm::Stockholm
143,swe,11527,59.3381236,18.1322082,Östermalm::Stockholm
144,swe,11528,59.3424775,18.11225,Östermalm::Stockholm
145,swe,11529,59.3422116,18.0959393,Östermalm::Stockholm
146,swe,11530,59.3428362,18.0902826,Östermalm::Stockholm
147,swe,11531,59.34258080000001,18.0868708,Östermalm::Stockholm
148,swe,11532,59.342922,18.0922798,Östermalm::Stockholm
149,swe,11533,59.34321780000001,18.0941111,Östermalm::Stockholm
150,swe,11534,59.3452303,18.0904546,Östermalm::Stockholm
151,swe,11535,59.3450277,18.0983594,Östermalm::Stockholm
152,swe,11536,59.34687340000001,18.0958677,Östermalm::Stockholm
153,swe,11537,59.3473789,18.0975334,Östermalm::Stockholm
154,swe,11538,59.3455783,18.1036039,Östermalm::Stockholm
155,swe,11539,59.34788439999999,18.0991992,Östermalm::Stockholm
156,swe,11540,59.3465891,18.1069357,Östermalm::Stockholm
157,swe,11541,59.3490301,18.1132685,Östermalm::Stockholm
158,swe,11542,59.36228120000001,18.0883293,Östermalm::Stockholm
159,swe,11543,59.35304730000001,18.0956332,Östermalm::Stockholm
160,swe,11544,59.35434199999999,18.0878953,Östermalm::Stockholm
161,swe,11545,59.3576592,18.0868205,Östermalm::Stockholm
162,swe,11546,59.3548675,18.0895134,Östermalm::Stockholm
163,swe,11547,59.3582287,18.0896174,Östermalm::Stockholm
164,swe,11548,59.3621193,18.0946565,Östermalm::Stockholm
165,swe,11549,59.35266069999999,18.0866432,Östermalm::Stockholm
166,swe,11550,59.3456448,18.0849638,Östermalm::Stockholm
167,swe,11551,59.343482,18.0851254,Östermalm::Stockholm
168,swe,11553,59.3411242,18.100929,Östermalm::Stockholm
169,swe,11557,59.3476674,18.0916254,Östermalm::Stockholm
170,swe,11558,59.3456167,18.0994429,Östermalm::Stockholm
171,swe,11559,59.3452485,18.1110931,Östermalm::Stockholm
